qid,question
1,What is the capital of France?
2,Who wrote Romeo and Juliet?
3,Who is Dr. David Lin?
4,Which city hosts the annual Aurora Tech Expo?
5,Did the mission to Europa succeed in collecting ice samples?
6,Which antibiotic was named in the incident report?
7,What year did the Meridian Accord take effect?
8,Which ingredients were listed for the Solaris energy drink?
9,Where will the 2026 Coastal Resilience Summit be held?
10,Who authored the internal audit on Helios Microgrid?
11,Which team won the 2024 Interstellar Robotics Challenge?
12,What was the outcome of the Apex semiconductor recall?
13,Which fossil fuel subsidies did the Green Horizons bill remove?
14,What malfunction caused the Skysail drone crash?
15,Which astronaut led the Artemis Pathfinder mission?
16,What chemical triggered the lab evacuation at Ridgeview High?
17,Which country signed the OceanNet data sharing pact first?
18,Did Project Atlas achieve carbon-neutral operations?
19,What software vulnerability did the Nimbus patch fix?
20,Which exhibit replaced the Renaissance Wing at the city museum?
21,Who announced the OrionOS 5.0 launch date?
22,Which sponsor withdrew from the 2025 Global Health Forum?
23,What was the final vote count on the Riverbend Initiative?
24,Which language model powers the AtlasDocs summarizer?
25,Did the QuantumLink satellite achieve stable orbit?
26,Which foods triggered the allergen alert in cafeteria B?
